pileno,pileseq,markno,unitw,topile
A14,001,SP-RS-A14-001,0.795221906,B24
A14,002,SP-RS-A14-002,4.817364229,B37
A14,003,SP-RS-A14-003,18.71790957,B24
A14,004,SP-RS-A14-004,1.590231237,A04
A14,005,SP-RS-A14-005,3.179310281,B01
A14,006,SP-RS-A14-006,9.240064869,B24
A14,007,SP-RS-A14-007,3.892565763,A26
A14,008,SP-RS-A14-008,13.04346162,A01
A14,009,SP-RS-A14-009,7.826239447,A01
A14,010,SP-RS-A14-010,15.46141149,A04
A14,011,SP-RS-A14-011,17.18246033,B26
A14,012,SP-RS-A14-012,10.71662588,A26
A14,013,SP-RS-A14-013,1.55631968,A21
A14,014,SP-RS-A14-014,10.1670778,A04
A14,015,SP-RS-A14-015,0.745605373,A21
A14,016,SP-RS-A14-016,19.27663946,A01
A14,017,SP-RS-A14-017,17.98874781,A01
A14,018,SP-RS-A14-018,1.855518613,A21
A14,019,SP-RS-A14-019,1.929016367,A04
A14,020,SP-RS-A14-020,8.054347559,A01
A14,021,SP-RS-A14-021,3.828489367,B26
A14,022,SP-RS-A14-022,16.78420546,A13
A14,023,SP-RS-A14-023,14.23839745,B15
A14,024,SP-RS-A14-024,2.965241685,A13
A14,025,SP-RS-A14-025,6.610124097,B24
A14,026,SP-RS-A14-026,14.31118357,A26
A14,027,SP-RS-A14-027,17.96333665,B15
A14,028,SP-RS-A14-028,5.161539268,A21
A14,029,SP-RS-A14-029,5.300361286,A13
A14,030,SP-RS-A14-030,4.963908389,B26
A14,031,SP-RS-A14-031,9.104289704,B01
A14,032,SP-RS-A14-032,5.652790964,A13
A14,033,SP-RS-A14-033,15.43890499,B15
A14,034,SP-RS-A14-034,0.776248839,B15
A14,035,SP-RS-A14-035,9.418929498,A26
A14,036,SP-RS-A14-036,13.46641516,A01
A14,037,SP-RS-A14-037,18.65597208,B37
A14,038,SP-RS-A14-038,17.77077656,A13
A14,039,SP-RS-A14-039,16.35249291,B37
A14,040,SP-RS-A14-040,18.58935249,A13
A14,041,SP-RS-A14-041,13.5435014,B24
A14,042,SP-RS-A14-042,9.829372266,B24
A14,043,SP-RS-A14-043,5.742248714,B37
A14,044,SP-RS-A14-044,13.05986145,A04
A14,045,SP-RS-A14-045,0.679965892,A04
A14,046,SP-RS-A14-046,18.76134895,A26
A14,047,SP-RS-A14-047,1.630287989,A01
A14,048,SP-RS-A14-048,15.93501837,B37
A14,049,SP-RS-A14-049,14.93517552,B15
A14,050,SP-RS-A14-050,7.830572826,A21
A14,051,SP-RS-A14-051,0.65186601,A21
A14,052,SP-RS-A14-052,19.0066119,A13
A14,053,SP-RS-A14-053,10.58538579,A01
A14,054,SP-RS-A14-054,4.78167923,A21
A14,055,SP-RS-A14-055,18.0774745,B24
A14,056,SP-RS-A14-056,1.146501295,A13
A14,057,SP-RS-A14-057,0.682815369,B24
A14,058,SP-RS-A14-058,1.220085421,A04
A14,059,SP-RS-A14-059,17.21714048,A04
A14,060,SP-RS-A14-060,12.07480337,A26
A14,061,SP-RS-A14-061,3.659747443,B01
A14,062,SP-RS-A14-062,11.86389162,A04
A14,063,SP-RS-A14-063,6.292075321,A26
A14,064,SP-RS-A14-064,15.30889343,B26
A14,065,SP-RS-A14-065,6.840430809,A04
A14,066,SP-RS-A14-066,10.94671009,B26
A14,067,SP-RS-A14-067,4.995210799,A13
A14,068,SP-RS-A14-068,3.165150823,B26
A14,069,SP-RS-A14-069,18.56712133,A13
A14,070,SP-RS-A14-070,6.779812011,A26
A14,071,SP-RS-A14-071,1.743031047,B37
A14,072,SP-RS-A14-072,10.88209711,B24
A14,073,SP-RS-A14-073,18.47901172,B37
A14,074,SP-RS-A14-074,9.373324015,B26
A14,075,SP-RS-A14-075,3.625008948,B26
A14,076,SP-RS-A14-076,10.54784177,B24
A14,077,SP-RS-A14-077,1.679200381,A01
A14,078,SP-RS-A14-078,12.48917337,B37
A14,079,SP-RS-A14-079,5.066655878,B26
A14,080,SP-RS-A14-080,15.82082203,A13
A14,081,SP-RS-A14-081,1.201686155,B37
A14,082,SP-RS-A14-082,4.360485438,A26
A14,083,SP-RS-A14-083,1.855193933,B24
A14,084,SP-RS-A14-084,17.75274101,A01
A14,085,SP-RS-A14-085,11.39783786,A26
A14,086,SP-RS-A14-086,1.691105789,A26
A14,087,SP-RS-A14-087,7.28536711,B15
A14,088,SP-RS-A14-088,4.579790878,B01
A14,089,SP-RS-A14-089,15.00435986,B26
A14,090,SP-RS-A14-090,5.813833678,A21
A14,091,SP-RS-A14-091,12.82625262,B37
A14,092,SP-RS-A14-092,9.69945404,A01
A14,093,SP-RS-A14-093,18.20239971,B15
A14,094,SP-RS-A14-094,11.837443,A21
A14,095,SP-RS-A14-095,14.94267617,B26
A14,096,SP-RS-A14-096,14.86022904,A04
A14,097,SP-RS-A14-097,18.80022572,A01
A14,098,SP-RS-A14-098,8.571330929,B01
A14,099,SP-RS-A14-099,9.481216899,A21
A14,100,SP-RS-A14-100,15.63242048,A01
A14,101,SP-RS-A14-101,4.425795577,A01
A14,102,SP-RS-A14-102,16.98056947,A04
A14,103,SP-RS-A14-103,18.59638926,B26
A14,104,SP-RS-A14-104,17.19379876,B37
A14,105,SP-RS-A14-105,11.31959139,A13
A14,106,SP-RS-A14-106,12.355895,B37
A14,107,SP-RS-A14-107,5.796380621,B24
A14,108,SP-RS-A14-108,13.60942168,B01
A14,109,SP-RS-A14-109,16.22380318,A21
A14,110,SP-RS-A14-110,15.70179242,B37
A14,111,SP-RS-A14-111,0.38121556,A26
A14,112,SP-RS-A14-112,3.000991631,A21
A14,113,SP-RS-A14-113,5.828187386,A01
A14,114,SP-RS-A14-114,9.087482636,B24
A14,115,SP-RS-A14-115,10.59715721,A04
A14,116,SP-RS-A14-116,14.50001572,A13
A14,117,SP-RS-A14-117,1.096260188,A04
A14,118,SP-RS-A14-118,7.516014593,B15
A14,119,SP-RS-A14-119,13.52740701,A01
A14,120,SP-RS-A14-120,18.76267305,B15
A14,121,SP-RS-A14-121,10.02846385,A01
A14,122,SP-RS-A14-122,15.9760767,B15
A14,123,SP-RS-A14-123,3.764953717,A01
A14,124,SP-RS-A14-124,6.897433299,A01
A14,125,SP-RS-A14-125,6.59216274,B26
A14,126,SP-RS-A14-126,17.34553625,A04
A14,127,SP-RS-A14-127,13.53369803,B01
A14,128,SP-RS-A14-128,12.83999598,B37
A14,129,SP-RS-A14-129,1.577499826,A21
A14,130,SP-RS-A14-130,7.771270476,B26
A14,131,SP-RS-A14-131,15.6237955,B26
A14,132,SP-RS-A14-132,11.08148517,B01
A14,133,SP-RS-A14-133,12.6051781,B26
A14,134,SP-RS-A14-134,3.129033546,A13
A14,135,SP-RS-A14-135,9.6019596,B26
A14,136,SP-RS-A14-136,18.54579177,A13
A14,137,SP-RS-A14-137,6.863920878,B15
A14,138,SP-RS-A14-138,10.37773334,B24
A14,139,SP-RS-A14-139,14.76696955,A13
A14,140,SP-RS-A14-140,10.18894232,A04
A14,141,SP-RS-A14-141,17.30489597,A01
A14,142,SP-RS-A14-142,18.43326258,B37
A14,143,SP-RS-A14-143,12.24648593,A04
A14,144,SP-RS-A14-144,14.05299283,B15
A14,145,SP-RS-A14-145,11.40274097,B37
A14,146,SP-RS-A14-146,0.523644679,B26
A14,147,SP-RS-A14-147,14.27442867,A04
A14,148,SP-RS-A14-148,5.54468578,A26
A14,149,SP-RS-A14-149,5.571724409,B15
A14,150,SP-RS-A14-150,0.442516155,A21
A14,151,SP-RS-A14-151,6.805090544,A04
A14,152,SP-RS-A14-152,4.304076609,B15
A14,153,SP-RS-A14-153,6.031001637,A04
A14,154,SP-RS-A14-154,6.510695538,A04
A03,001,SP-RS-A03-001,7.163754518,B01
A03,002,SP-RS-A03-002,9.302608994,A26
A03,003,SP-RS-A03-003,18.05166549,A26
A03,004,SP-RS-A03-004,15.58380237,A01
A03,005,SP-RS-A03-005,14.41059852,A26
A03,006,SP-RS-A03-006,2.933093312,B24
A03,007,SP-RS-A03-007,0.864812558,B24
A03,008,SP-RS-A03-008,4.045388469,A26
A03,009,SP-RS-A03-009,7.623207613,B15
A03,010,SP-RS-A03-010,4.643187035,A21
A03,011,SP-RS-A03-011,17.23470813,A13
A03,012,SP-RS-A03-012,7.001146666,A04
A03,013,SP-RS-A03-013,11.94193615,A01
A03,014,SP-RS-A03-014,4.873426199,A21
A03,015,SP-RS-A03-015,1.259237347,A04
A03,016,SP-RS-A03-016,15.78873695,A26
A03,017,SP-RS-A03-017,0.210080875,A21
A03,018,SP-RS-A03-018,14.46705062,B24
A03,019,SP-RS-A03-019,18.25598872,A21
A03,020,SP-RS-A03-020,6.197379275,A01
A03,021,SP-RS-A03-021,6.450993318,A13
A03,022,SP-RS-A03-022,4.519235646,B26
A03,023,SP-RS-A03-023,8.219021362,A21
A03,024,SP-RS-A03-024,15.22108647,A21
A03,025,SP-RS-A03-025,15.67205239,A21
A03,026,SP-RS-A03-026,2.830001337,B26
A03,027,SP-RS-A03-027,13.14155105,A01
A03,028,SP-RS-A03-028,10.38432757,B26
A03,029,SP-RS-A03-029,14.23373643,A21
A03,030,SP-RS-A03-030,13.02068718,B15
A03,031,SP-RS-A03-031,3.146633167,A13
A03,032,SP-RS-A03-032,3.029195099,A21
A03,033,SP-RS-A03-033,11.59950148,A04
A03,034,SP-RS-A03-034,5.494099796,B26
A03,035,SP-RS-A03-035,17.5703235,A01
A03,036,SP-RS-A03-036,11.15886265,A01
A03,037,SP-RS-A03-037,3.391856383,B15
A03,038,SP-RS-A03-038,2.466749637,B15
A03,039,SP-RS-A03-039,13.45995245,B01
A03,040,SP-RS-A03-040,17.36406198,B01
A03,041,SP-RS-A03-041,3.826254383,B26
A03,042,SP-RS-A03-042,7.824664461,A01
A03,043,SP-RS-A03-043,9.595504685,A21
A03,044,SP-RS-A03-044,9.984559043,A13
A03,045,SP-RS-A03-045,16.25680287,A21
A03,046,SP-RS-A03-046,0.60020659,B15
A03,047,SP-RS-A03-047,0.896512711,B24
A03,048,SP-RS-A03-048,5.010683381,A04
A03,049,SP-RS-A03-049,3.159468043,B01
A03,050,SP-RS-A03-050,18.33942147,A01
A03,051,SP-RS-A03-051,18.32191962,A01
A03,052,SP-RS-A03-052,19.26466589,A04
A03,053,SP-RS-A03-053,4.640634353,A26
A03,054,SP-RS-A03-054,15.81106513,B24
A03,055,SP-RS-A03-055,3.391121094,A04
A03,056,SP-RS-A03-056,19.29302086,A04
A03,057,SP-RS-A03-057,0.859021119,A21
A03,058,SP-RS-A03-058,17.81899386,B24
A03,059,SP-RS-A03-059,9.158964155,B24
A03,060,SP-RS-A03-060,7.436330171,A26
A03,061,SP-RS-A03-061,0.427598093,B15
A03,062,SP-RS-A03-062,2.859993331,A26
A03,063,SP-RS-A03-063,15.03917232,A04
A03,064,SP-RS-A03-064,18.23064462,A21
A03,065,SP-RS-A03-065,2.96899842,B26
A03,066,SP-RS-A03-066,10.58557702,A13
A03,067,SP-RS-A03-067,1.060286918,A13
A03,068,SP-RS-A03-068,9.255616418,A04
A03,069,SP-RS-A03-069,14.04664694,A04
A03,070,SP-RS-A03-070,6.805287255,A04
A03,071,SP-RS-A03-071,13.94058518,B24
A03,072,SP-RS-A03-072,14.52621861,A13
A03,073,SP-RS-A03-073,11.61011759,B15
A03,074,SP-RS-A03-074,16.16544963,B01
A03,075,SP-RS-A03-075,9.43551435,B24
A03,076,SP-RS-A03-076,19.15628501,A04
A03,077,SP-RS-A03-077,10.76336231,B24
A03,078,SP-RS-A03-078,5.916646237,B26
A03,079,SP-RS-A03-079,14.81189099,B01
A03,080,SP-RS-A03-080,18.59610194,B15
A03,081,SP-RS-A03-081,5.122137934,A21
A03,082,SP-RS-A03-082,16.48901019,B24
A03,083,SP-RS-A03-083,0.165579128,A01
A03,084,SP-RS-A03-084,8.219823614,A01
A03,085,SP-RS-A03-085,7.211560202,A21
