pileno,pileseq,markno,unitw,topile
B21,001,SP-RT-B21-001,3.845895504,cn1
B21,002,SP-RT-B21-002,1.03444774,cn1
B21,003,SP-RT-B21-003,15.09386536,cn1
B21,004,SP-RT-B21-004,15.0456228,cn1
B21,005,SP-RT-B21-005,7.213988287,cn1
B21,006,SP-RT-B21-006,8.95461955,cn1
B21,007,SP-RT-B21-007,3.251438066,cn1
B21,008,SP-RT-B21-008,8.496813109,cn1
B21,009,SP-RT-B21-009,13.92022177,cn1
B21,010,SP-RT-B21-010,18.49333643,cn1
B21,011,SP-RT-B21-011,3.128127373,cn1
B21,012,SP-RT-B21-012,1.055289227,cn1
B21,013,SP-RT-B21-013,4.208856132,cn1
B21,014,SP-RT-B21-014,8.032205099,cn1
B21,015,SP-RT-B21-015,3.725766154,cn1
B21,016,SP-RT-B21-016,17.17940531,cn1
B21,017,SP-RT-B21-017,18.62283455,cn1
B21,018,SP-RT-B21-018,18.17950496,cn1
B21,019,SP-RT-B21-019,14.75665703,cn1
B21,020,SP-RT-B21-020,7.362875264,cn1
B21,021,SP-RT-B21-021,6.08944324,cn1
B21,022,SP-RT-B21-022,0.878914084,cn1
B21,023,SP-RT-B21-023,19.23920003,cn1
B21,024,SP-RT-B21-024,8.55384522,cn1
B21,025,SP-RT-B21-025,15.26524502,cn1
B21,026,SP-RT-B21-026,15.53547058,cn1
B21,027,SP-RT-B21-027,0.858851077,cn1
B21,028,SP-RT-B21-028,8.42732447,cn1
B21,029,SP-RT-B21-029,12.85403167,cn1
B21,030,SP-RT-B21-030,17.2211171,cn1
B21,031,SP-RT-B21-031,14.68246665,cn1
B21,032,SP-RT-B21-032,7.309128212,cn1
B21,033,SP-RT-B21-033,11.7639235,cn1
B21,034,SP-RT-B21-034,8.144050913,cn1
B21,035,SP-RT-B21-035,0.521578644,cn1
B21,036,SP-RT-B21-036,11.42121803,cn1
B21,037,SP-RT-B21-037,15.07959301,cn1
B21,038,SP-RT-B21-038,18.19909999,cn1
B21,039,SP-RT-B21-039,6.762921104,cn1
B21,040,SP-RT-B21-040,13.42612083,cn1
B21,041,SP-RT-B21-041,12.45351988,cn1
B21,042,SP-RT-B21-042,7.622171846,cn1
B21,043,SP-RT-B21-043,1.841532803,cn1
B21,044,SP-RT-B21-044,9.093113763,cn1
