pileno,pileseq,markno,unitw,topile
B00,001,SP-ST-B00-001,8.188929786,B08
B00,002,SP-ST-B00-002,2.59760419,B08
B00,003,SP-ST-B00-003,8.802574602,A13
B00,004,SP-ST-B00-004,7.519840546,A35
B00,005,SP-ST-B00-005,2.517360566,A11
B00,006,SP-ST-B00-006,13.52338554,A36
B00,007,SP-ST-B00-007,2.214576344,A36
B00,008,SP-ST-B00-008,14.39919548,A13
B00,009,SP-ST-B00-009,4.473968492,A36
B00,010,SP-ST-B00-010,3.387577846,B08
B00,011,SP-ST-B00-011,19.25418706,A13
B00,012,SP-ST-B00-012,9.838859397,A13
B00,013,SP-ST-B00-013,2.935567888,A35
B00,014,SP-ST-B00-014,18.11352195,A36
B00,015,SP-ST-B00-015,9.40563247,A36
B00,016,SP-ST-B00-016,16.51759289,A35
B00,017,SP-ST-B00-017,4.144234987,B08
B00,018,SP-ST-B00-018,10.48430086,A36
B00,019,SP-ST-B00-019,11.18570398,A36
B00,020,SP-ST-B00-020,0.240715298,A11
B00,21,SP-ST-B00-021,11.89144713,B08
B00,022,SP-ST-B00-022,5.952623971,A11
B00,023,SP-ST-B00-023,13.24964866,B08
B00,024,SP-ST-B00-024,15.32058714,A36
B00,025,SP-ST-B00-025,15.91350772,A11
B00,026,SP-ST-B00-026,4.306041535,A13
B00,027,SP-ST-B00-027,11.54037744,B08
B00,028,SP-ST-B00-028,13.07266188,A11
B00,029,SP-ST-B00-029,12.26403036,A36
B00,030,SP-ST-B00-030,5.951156652,A36
B00,031,SP-ST-B00-031,18.21746287,A35
B00,032,SP-ST-B00-032,8.386285597,A36
B00,033,SP-ST-B00-033,14.92990141,A11
B00,034,SP-ST-B00-034,10.11555114,B08
B00,035,SP-ST-B00-035,9.102767631,A36
B00,036,SP-ST-B00-036,2.644074165,B08
B00,037,SP-ST-B00-037,8.19521254,A35
B00,038,SP-ST-B00-038,13.9037387,A36
B00,039,SP-ST-B00-039,4.578885225,A13
B00,040,SP-ST-B00-040,5.790963296,B08
B00,041,SP-ST-B00-041,5.727293688,A36
B00,042,SP-ST-B00-042,5.38308302,A13
B00,043,SP-ST-B00-043,7.550986557,B08
B00,044,SP-ST-B00-044,14.57041767,A36
B00,045,SP-ST-B00-045,12.82731185,A13
B00,046,SP-ST-B00-046,1.674166153,A13
B00,047,SP-ST-B00-047,18.11622857,A36
B00,048,SP-ST-B00-048,12.90842912,A35
B00,049,SP-ST-B00-049,0.438217737,B08
B00,050,SP-ST-B00-050,6.074780248,B08
B00,051,SP-ST-B00-051,7.659325311,A13
B00,052,SP-ST-B00-052,6.985510038,A35
B00,053,SP-ST-B00-053,18.4773939,A11
B00,054,SP-ST-B00-054,5.46651744,B08
B00,055,SP-ST-B00-055,16.01788288,B08
B00,056,SP-ST-B00-056,9.353674854,B08
B00,057,SP-ST-B00-057,3.871404663,A13
B00,058,SP-ST-B00-058,8.296000709,A13
B00,059,SP-ST-B00-059,4.330916476,B08
B00,060,SP-ST-B00-060,2.360528294,B08
B00,061,SP-ST-B00-061,0.206870526,A11
B00,062,SP-ST-B00-062,4.545383075,B08
B00,063,SP-ST-B00-063,14.32419244,A11
B00,064,SP-ST-B00-064,5.233402936,A36
B00,065,SP-ST-B00-065,10.28669,B08
B00,066,SP-ST-B00-066,15.58013169,A36
B00,067,SP-ST-B00-067,12.15561721,B08
B00,068,SP-ST-B00-068,15.0694813,B08
B00,069,SP-ST-B00-069,12.41562224,A36
B00,070,SP-ST-B00-070,9.24324427,A13
B00,071,SP-ST-B00-071,2.58196143,A36
B00,072,SP-ST-B00-072,15.84050613,A11
B00,073,SP-ST-B00-073,17.87916849,A13
B00,074,SP-ST-B00-074,1.643674008,A11
B00,075,SP-ST-B00-075,13.09998009,A36
B00,076,SP-ST-B00-076,12.17626253,A36
B00,077,SP-ST-B00-077,3.494681849,A13
B00,078,SP-ST-B00-078,14.41644296,A13
B00,079,SP-ST-B00-079,7.966717267,B08
B00,080,SP-ST-B00-080,10.24178968,A35
B00,081,SP-ST-B00-081,2.468144654,A13
B00,082,SP-ST-B00-082,7.477027238,B08
B00,083,SP-ST-B00-083,3.269914851,A35
B00,084,SP-ST-B00-084,8.630599167,A13
B00,085,SP-ST-B00-085,8.648737674,B08
B00,086,SP-ST-B00-086,10.48123655,B08
B00,087,SP-ST-B00-087,4.618405871,A11
